y,collegeDegree,female,age,homeOwn,govt,length,id,aboveav
Average,0,1,46,Yes,No,81.8499984741211,33,0
Fairly Low,0,0,35,Yes,No,75.91999816894531,33,0
Fairly High,0,1,36,Yes,Yes,53.720001220703125,33,1
Fairly Low,0,0,65,Yes,No,92.75,3,0
Very High,1,0,45,No,No,76.30000305175781,3,1
Average,0,0,27,Yes,No,54.58000183105469,3,0
Very High,1,1,45,No,No,74.529998779296875,3,1
Average,0,0,32,Yes,Yes,48.970001220703125,5,0
Fairly Low,1,0,67,Yes,No,53.41999816894531,5,0
Fairly Low,0,1,56,Yes,No,47.04999923706055,5,0
Fairly High,1,1,42,Yes,No,54.220001220703125,9,1
Fairly Low,0,0,39,No,No,80.62999725341797,9,0
Average,1,1,66,Yes,No,54.849998474121094,9,0
Very High,1,1,68,Yes,No,126.47000122070312,11,1
Very High,1,1,46,Yes,No,51.72999954223633,11,1
Fairly High,1,0,63,Yes,No,83.62000274658203,9,1
Average,0,1,46,Yes,No,46.5,5,0
Very High,0,0,40,Yes,No,72.279998779296875,5,1
Fairly Low,0,1,59,Yes,No,47.150001525878906,5,0
Fairly High,1,1,41,Yes,No,69.7699966430664,5,1
Average,0,0,32,Yes,No,72.55000305175781,29,0
Fairly High,1,0,54,Yes,No,70.12000274658203,29,1
Average,1,0,30,Yes,Yes,57.130001068115234,29,0
Average,0,1,62,Yes,No,45.54999923706055,34,0
Fairly High,1,0,53,Yes,No,53.369998931884766,28,1
Very High,0,1,56,Yes,No,53.630001068115234,28,1
Very High,1,1,38,Yes,Yes,59.380001068115234,28,1
Average,0,1,70,Yes,No,53.81999969482422,28,0
Average,1,1,40,No,No,186.22000122070312,14,0
Average,1,1,52,Yes,No,95.5199966430664,9,0
Fairly High,0,1,72,No,No,91.68000030517578,9,1
Fairly High,1,0,31,No,Yes,92.08000183105469,9,1
Average,0,1,37,Yes,No,54.369998931884766,9,0
Average,1,1,32,No,No,59.95000076293945,9,0
Average,1,0,36,Yes,No,64.66999816894531,9,0
Fairly High,1,0,47,Yes,No,43.83000183105469,35,1
Fairly High,0,0,57,Yes,No,60.97999954223633,35,1
Fairly High,1,1,32,No,No,59.66999816894531,29,1
Fairly Low,0,1,72,No,No,61.66999816894531,29,0
Average,0,1,61,No,No,62.380001068115234,29,0
Average,0,0,43,Yes,No,58.52000045776367,29,0
Very High,1,0,70,Yes,No,70.3499984741211,29,1
Average,0,1,54,Yes,No,102.12000274658203,17,0
Very High,1,0,46,No,No,55.29999923706055,17,1
Fairly Low,0,1,66,No,No,72.37999725341797,12,0
Fairly High,1,0,62,Yes,No,61.91999816894531,12,1
Fairly High,0,0,34,Yes,No,83.75,12,1
Fairly High,0,1,67,Yes,No,79.44999694824219,17,1
Fairly Low,0,1,30,Yes,No,60.880001068115234,10,0
Fairly Low,0,0,26,No,Yes,53.04999923706055,13,0
Average,1,0,62,Yes,No,70.12000274658203,10,0
Average,0,0,28,No,No,73.9000015258789,14,0
Fairly High,1,1,65,Yes,No,83.06999969482422,14,1
Average,0,1,84,No,No,116.94999694824219,14,0
Fairly High,1,0,35,Yes,Yes,75.3499984741211,14,1
Fairly Low,0,1,51,Yes,Yes,56.43000030517578,33,0
Fairly High,0,0,31,Yes,No,51.900001525878906,33,1
Average,0,0,54,No,No,77.19999694824219,33,0
Average,1,0,28,Yes,No,75.33000183105469,30,0
Fairly Low,0,1,82,Yes,No,47.04999923706055,23,0
Average,0,0,50,Yes,Yes,52.279998779296875,23,0
Fairly High,0,1,75,Yes,No,47.529998779296875,23,1
Average,0,1,90,No,No,214.8800048828125,10,0
Average,0,1,51,No,No,83.0199966430664,10,0
Average,1,1,50,Yes,Yes,53.869998931884766,25,0
Average,0,1,42,Yes,No,81.720001220703125,21,0
Average,0,1,55,Yes,No,62.220001220703125,21,0
Fairly Low,0,0,30,Yes,No,66.529998779296875,21,0
Fairly High,0,1,50,Yes,No,55.849998474121094,25,1
Average,0,1,41,Yes,No,69.7300033569336,23,0
Fairly Low,1,1,29,Yes,No,45.369998931884766,23,0
Fairly High,0,1,60,Yes,No,66.7699966430664,26,1
Average,0,1,84,No,No,54.06999969482422,26,0
Fairly High,0,1,59,Yes,No,92.44999694824219,28,1
Average,0,1,42,No,No,50.650001525878906,27,0
Average,0,0,55,No,No,54.81999969482422,27,0
Fairly High,1,1,30,Yes,No,70.81999969482422,4,1
Very High,0,0,79,Yes,No,169.6999969482422,5,1
Fairly High,1,1,59,Yes,No,68.44999694824219,5,1
Fairly Low,0,0,35,Yes,No,55.150001525878906,23,0
Fairly Low,0,1,24,No,No,47.25,23,0
Fairly High,0,0,46,Yes,No,47.52000045776367,23,1
Fairly High,1,0,56,Yes,No,50.08000183105469,29,1
Very High,1,0,64,No,No,77.69999694824219,29,1
Fairly Low,0,0,25,No,No,40.91999816894531,29,0
Fairly Low,0,1,50,Yes,No,54.529998779296875,29,0
Fairly High,0,0,70,Yes,No,54.470001220703125,29,1
Fairly Low,0,1,66,Yes,No,66.529998779296875,23,0
Average,0,1,53,Yes,No,65.37999725341797,23,0
Fairly Low,0,0,42,No,No,46.41999816894531,23,0
Average,0,0,78,Yes,No,60.29999923706055,23,0
Average,1,1,40,No,No,49.06999969482422,23,0
Very High,1,1,27,Yes,Yes,60.630001068115234,33,1
Average,0,1,89,Yes,No,68.44999694824219,33,0
Fairly High,0,0,30,No,No,68.69999694824219,23,1
Fairly High,1,1,41,Yes,No,42.119998931884766,35,1
Average,0,1,74,Yes,No,87.2699966430664,29,0
Fairly Low,0,1,53,Yes,No,67.81999969482422,30,0
Average,0,1,24,Yes,No,58.22999954223633,29,0
Fairly High,1,0,43,Yes,Yes,74.4800033569336,9,1
Average,0,0,22,No,No,72.0199966430664,9,0
Average,1,1,57,No,No,73.25,9,0
Average,0,1,36,No,No,59.93000030517578,35,0
Average,0,1,44,Yes,No,72.83000183105469,9,0
Average,0,0,36,Yes,No,45.52000045776367,35,0
Average,0,1,49,No,No,55.220001220703125,35,0
Fairly High,1,1,34,Yes,Yes,50.41999816894531,35,1
Very High,1,1,34,Yes,No,63.900001525878906,35,1
Average,0,1,51,Yes,No,49.650001525878906,35,0
Fairly Low,0,1,35,Yes,No,43.47999954223633,35,0
Very Low,0,0,67,No,No,54.779998779296875,35,0
Very High,1,0,57,Yes,No,44.04999923706055,35,1
Fairly High,1,1,75,Yes,No,62.93000030517578,4,1
Average,0,0,24,Yes,No,36.95000076293945,35,0
Very High,0,0,64,Yes,No,106.0999984741211,13,1
Very High,0,1,38,Yes,No,65.41999816894531,13,1
Fairly Low,0,1,82,No,No,65.41999816894531,13,0
Average,0,1,71,Yes,No,63.349998474121094,35,0
Fairly High,1,0,35,Yes,No,64.62999725341797,9,1
Fairly High,1,0,58,Yes,No,66.12999725341797,9,1
Fairly Low,0,1,27,Yes,No,51.27000045776367,9,0
Average,0,1,43,Yes,No,65.94999694824219,9,0
Very High,1,0,55,Yes,No,72.470001220703125,16,1
Average,0,1,59,Yes,No,73.779998779296875,16,0
Average,0,1,84,No,No,79.69999694824219,30,0
Very High,0,0,43,Yes,No,55.02000045776367,30,1
Average,0,1,24,Yes,Yes,58.16999816894531,30,0
Average,0,1,43,Yes,No,83.0199966430664,9,0
Very High,0,0,51,Yes,No,70.44999694824219,8,1
Fairly High,1,0,74,Yes,No,85.25,8,1
Fairly Low,0,0,18,Yes,No,69.33000183105469,14,0
Average,1,0,40,Yes,No,49.099998474121094,23,0
Fairly Low,0,0,39,Yes,No,46.70000076293945,23,0
Fairly Low,0,1,45,Yes,No,61.279998779296875,23,0
Fairly Low,0,1,48,Yes,No,43.119998931884766,7,0
Fairly High,1,0,39,Yes,No,68.1500015258789,33,1
Fairly High,0,1,61,Yes,No,81.2300033569336,3,1
Very High,1,1,63,Yes,No,81.2300033569336,3,1
Average,1,1,58,Yes,No,81.8499984741211,3,0
Fairly High,1,0,31,Yes,No,62.220001220703125,5,1
Average,0,0,61,Yes,No,78.4000015258789,6,0
Very High,0,1,58,Yes,No,69.31999969482422,36,1
Very High,1,1,51,No,No,117,6,1
Fairly Low,0,1,57,Yes,No,61.970001220703125,28,0
Fairly Low,0,1,34,No,No,74.56999969482422,28,0
Average,0,1,74,No,No,102.97000122070312,6,0
Fairly Low,0,1,84,No,No,53.52000045776367,6,0
Very High,0,1,80,Yes,No,54.54999923706055,28,1
Average,0,1,46,Yes,No,55.27000045776367,7,0
Average,1,1,82,Yes,No,72.80000305175781,7,0
Fairly Low,0,1,57,No,No,32.099998474121094,34,0
Average,0,1,66,Yes,No,67.87999725341797,32,0
Fairly High,0,0,82,Yes,No,71.06999969482422,25,1
Fairly Low,0,1,44,Yes,No,69.12999725341797,33,0
Fairly High,0,0,72,Yes,No,96.029998779296875,33,1
Fairly High,1,1,72,Yes,No,87.470001220703125,33,1
Average,0,1,70,Yes,No,94.33000183105469,37,0
Very High,1,1,51,Yes,No,79.220001220703125,32,1
Average,1,0,26,No,No,53.02000045776367,32,0
Fairly High,0,1,33,No,No,72,32,1
Average,1,1,32,Yes,No,44.400001525878906,32,0
Fairly High,1,1,NA,Yes,No,118.05000305175781,21,1
Average,0,1,58,No,No,61.349998474121094,21,0
Average,1,1,37,No,Yes,64.4000015258789,33,0
Very High,1,1,55,Yes,No,77.56999969482422,33,1
Very High,1,0,54,Yes,No,109.30000305175781,33,1
Very High,0,0,22,Yes,Yes,94.2300033569336,11,1
Fairly High,1,0,49,No,No,61.349998474121094,11,1
Fairly Low,0,1,32,Yes,No,52.970001220703125,11,0
Very High,0,0,63,Yes,No,70.06999969482422,11,1
Very Low,0,0,63,Yes,No,48.47999954223633,29,0
Average,0,1,72,No,No,56.02000045776367,29,0
Average,1,0,49,Yes,No,53.400001525878906,29,0
Average,0,0,51,No,No,71.69999694824219,29,0
Average,0,1,24,No,No,81.970001220703125,14,0
Very High,1,1,33,No,No,38.58000183105469,38,1
Fairly Low,0,0,20,Yes,No,65.12999725341797,39,0
Fairly High,1,1,53,Yes,No,67.9800033569336,39,1
Fairly Low,1,0,49,Yes,No,69.6500015258789,39,0
Fairly Low,0,0,52,No,No,73.470001220703125,40,0
Fairly High,1,0,41,Yes,No,93.9000015258789,40,1
Very High,1,0,54,Yes,Yes,71,40,1
Very High,0,1,26,No,No,43.22999954223633,38,1
Fairly Low,0,0,59,Yes,No,71.43000030517578,41,0
Fairly High,1,1,70,Yes,No,83.41999816894531,42,1
Fairly High,1,0,43,Yes,No,57.880001068115234,42,1
Fairly High,1,0,51,Yes,No,52.33000183105469,42,1
Average,0,1,25,No,No,66.720001220703125,43,0
Average,0,0,41,Yes,No,64.2300033569336,43,0
Very High,0,0,22,Yes,No,41.91999816894531,38,1
Average,1,1,39,No,No,58.599998474121094,44,0
Fairly High,0,0,82,Yes,No,66.33000183105469,44,1
Fairly Low,0,1,48,Yes,No,49.119998931884766,45,0
Average,0,0,48,Yes,No,87.19999694824219,46,0
Fairly Low,0,0,65,Yes,No,59.970001220703125,46,0
Average,1,1,46,No,No,46.599998474121094,46,0
Average,0,0,58,Yes,No,54.52000045776367,46,0
Fairly High,1,0,37,Yes,No,44.22999954223633,47,1
Fairly Low,0,1,61,Yes,No,69.720001220703125,47,0
Average,1,1,23,Yes,Yes,52.369998931884766,47,0
Fairly Low,0,1,69,Yes,No,67.8499984741211,39,0
Average,0,1,58,No,No,94.58000183105469,48,0
Fairly High,0,1,18,Yes,No,69.8499984741211,49,1
Fairly High,1,1,79,Yes,No,66.4800033569336,50,1
Fairly Low,0,1,64,No,No,124.8499984741211,49,0
Average,0,1,75,Yes,No,76.779998779296875,51,0
Very High,1,1,34,No,No,64.18000030517578,52,1
Average,0,1,41,No,Yes,55.83000183105469,52,0
Average,1,1,25,No,No,58.18000030517578,52,0
Fairly High,1,1,27,No,No,55.779998779296875,1,1
Fairly Low,0,1,75,No,No,69.93000030517578,1,0
Fairly High,1,0,33,Yes,No,57.20000076293945,1,1
Fairly High,0,1,42,No,No,82.94999694824219,44,1
Very High,1,0,39,Yes,No,58.22999954223633,44,1
Very High,1,0,56,Yes,No,64.08000183105469,44,1
Fairly High,1,1,28,Yes,No,54.77000045776367,50,1
Fairly High,0,0,60,Yes,No,49.58000183105469,50,1
Fairly Low,1,1,34,Yes,No,50.97999954223633,50,0
Average,0,0,74,Yes,No,74.66999816894531,53,0
Average,0,0,47,No,No,58.380001068115234,53,0
Fairly Low,1,1,36,No,No,55.75,51,0
Very Low,0,1,25,No,No,63.91999816894531,51,0
Average,1,1,36,No,No,84.2300033569336,51,0
Fairly High,0,0,41,Yes,No,57.81999969482422,51,1
Fairly Low,0,1,24,No,No,49.33000183105469,51,0
Average,1,1,52,Yes,No,75.470001220703125,51,0
Fairly High,1,0,71,No,No,83,54,1
Fairly Low,0,1,63,No,No,73.0199966430664,54,0
Average,1,1,49,Yes,No,71.1500015258789,54,0
Very High,0,1,21,No,Yes,72.83000183105469,55,1
Fairly Low,0,1,20,No,No,64.58000183105469,55,0
Fairly Low,0,0,69,Yes,No,49.279998779296875,56,0
Very High,1,1,55,Yes,No,91.43000030517578,56,1
Very High,1,0,58,Yes,No,80.30000305175781,56,1
Fairly High,0,1,69,Yes,No,74.529998779296875,56,1
Fairly Low,0,1,60,Yes,No,50.970001220703125,56,0
Very High,0,1,65,Yes,No,58.97999954223633,57,1
Fairly Low,0,1,31,Yes,No,99.2300033569336,58,0
Fairly Low,0,0,43,Yes,No,88.25,58,0
Fairly High,0,1,47,Yes,Yes,112.56999969482422,58,1
Average,0,1,75,Yes,No,144.9199981689453,58,0
Average,0,1,26,No,No,47.91999816894531,59,0
Average,0,0,44,Yes,No,36.880001068115234,59,0
Fairly Low,0,0,51,Yes,No,47.349998474121094,59,0
Fairly High,0,1,83,Yes,No,59.31999969482422,59,1
Very High,1,0,43,Yes,Yes,68.87000274658203,59,1
Very High,0,1,47,Yes,No,51.33000183105469,59,1
Average,0,0,81,Yes,No,70.18000030517578,60,0
Very Low,0,1,76,Yes,No,57.33000183105469,60,0
Fairly High,1,1,26,Yes,No,106.37000274658203,60,1
Average,1,0,73,Yes,No,69.529998779296875,61,0
Very High,1,0,59,Yes,No,67.3499984741211,59,1
Average,1,1,62,No,No,53.33000183105469,62,0
Average,0,1,56,No,No,73.9000015258789,54,0
Average,1,1,41,No,No,55.900001525878906,54,0
Fairly High,0,1,68,No,No,82.2300033569336,63,1
Fairly Low,0,1,22,No,No,63.119998931884766,63,0
Fairly Low,0,0,23,No,No,57.04999923706055,62,0
Fairly Low,0,1,40,No,No,61.54999923706055,50,0
Fairly High,0,1,63,Yes,No,78.30000305175781,64,1
Very Low,0,1,61,No,No,66.87000274658203,65,0
Average,0,0,41,No,No,62.54999923706055,1,0
Fairly High,1,0,34,Yes,No,50.29999923706055,66,1
Fairly High,1,0,34,Yes,No,57.27000045776367,66,1
Fairly Low,1,1,40,Yes,Yes,52.470001220703125,61,0
Very High,1,1,30,Yes,No,70.029998779296875,61,1
Fairly High,1,1,68,Yes,No,67.9800033569336,61,1
Fairly High,0,0,32,No,No,93.56999969482422,39,1
Fairly Low,1,0,39,No,No,58.380001068115234,39,0
Fairly Low,0,1,51,Yes,No,85.08000183105469,39,0
Fairly Low,1,1,34,Yes,No,54.08000183105469,39,0
Average,0,0,45,Yes,No,67.529998779296875,39,0
Fairly High,0,0,64,Yes,No,73.69999694824219,55,1
Average,0,1,75,Yes,No,105.3499984741211,55,0
Fairly Low,0,0,76,Yes,No,87.66999816894531,55,0
Average,0,0,39,Yes,No,60.849998474121094,44,0
Average,1,1,32,Yes,No,62.95000076293945,44,0
Fairly Low,0,1,28,No,No,68.87999725341797,55,0
Fairly High,0,1,62,Yes,No,102.62999725341797,67,1
Fairly High,1,0,24,No,Yes,117.0999984741211,67,1
Fairly High,0,1,68,No,No,75.470001220703125,45,1
Average,0,0,63,Yes,No,57.72999954223633,68,0
Very Low,0,0,40,Yes,No,56.79999923706055,68,0
Fairly Low,0,0,45,No,No,62.93000030517578,44,0
Very Low,0,1,59,Yes,No,63.099998474121094,44,0
Average,1,1,40,Yes,No,74.62000274658203,69,0
Fairly High,1,0,52,Yes,Yes,82.75,69,1
Average,0,0,72,Yes,No,87.0999984741211,69,0
Very High,1,1,59,Yes,No,99.5199966430664,69,1
Very High,1,0,32,No,No,37.79999923706055,70,1
Average,1,1,57,Yes,No,89.1500015258789,71,0
Fairly Low,0,0,32,Yes,No,66.2699966430664,44,0
Fairly High,0,1,23,No,No,60.47999954223633,72,1
Very High,0,1,63,Yes,No,93.720001220703125,72,1
Very High,1,1,32,Yes,No,73.18000030517578,72,1
Average,0,1,68,Yes,No,72.5,67,0
Average,0,0,65,Yes,Yes,81.80000305175781,67,0
Fairly Low,0,1,78,Yes,No,67.56999969482422,67,0
Average,0,0,52,Yes,No,62.349998474121094,51,0
Fairly High,0,1,57,Yes,Yes,52.349998474121094,51,1
Average,0,1,72,Yes,No,106.37000274658203,55,0
Very High,1,0,23,No,No,73.56999969482422,55,1
Average,0,1,34,No,No,38.22999954223633,73,0
Average,0,1,23,No,No,40.02000045776367,73,0
Fairly High,1,0,42,Yes,Yes,44.91999816894531,73,1
Average,1,1,46,Yes,No,67.69999694824219,73,0
Very Low,0,0,23,No,No,76.56999969482422,74,0
Very High,1,0,35,No,No,56.93000030517578,74,1
Fairly Low,0,1,77,Yes,No,72.279998779296875,61,0
Average,0,1,36,No,No,66.87999725341797,61,0
Average,1,1,58,Yes,No,76,61,0
Average,0,1,69,Yes,No,94.529998779296875,71,0
Average,1,1,47,Yes,Yes,60.81999969482422,46,0
Average,0,0,51,Yes,No,76.12000274658203,46,0
Average,1,1,43,Yes,No,50.75,46,0
Average,0,1,21,No,No,84.7699966430664,75,0
Average,0,1,43,Yes,No,206.6699981689453,75,0
Average,0,1,26,No,No,56.66999816894531,75,0
Fairly Low,0,0,27,No,Yes,67.93000030517578,67,0
Fairly Low,0,1,35,No,No,87.4000015258789,48,0
Fairly High,1,0,52,No,Yes,81.1500015258789,48,1
Fairly Low,1,1,42,No,No,69.58000183105469,48,0
Fairly High,1,1,26,Yes,Yes,59.369998931884766,63,1
Fairly Low,0,0,30,Yes,No,88.5999984741211,63,0
Average,0,1,41,No,Yes,51.470001220703125,29,0
Fairly High,1,1,36,Yes,No,52.54999923706055,40,1
Very High,1,1,70,Yes,No,73.08000183105469,76,1
Fairly High,0,0,31,No,No,83.41999816894531,39,1
Fairly High,0,1,65,Yes,No,83.470001220703125,1,1
Fairly High,0,0,40,Yes,No,70.0199966430664,77,1
